Titre du poste,Entreprise,Ville,Secteur d'activité,Contrat proposé,Niveau d'étude,Expérience,Compétences techniques,Langues,Soft skills,Lien de l'offre
Chef de Service Après-Vente et Magasin Pièces de Rechange,Groupe Smeia,Oujda,"Automobile, Motos, Cycles",CDI,Bac +5 et plus,Confirmé (5 à 10 ans),Excel,Non spécifié,"Travail en équipe, Rigueur, Organisation, Créativité, Innovation, Initiative, Réactivité",https://www.rekrute.com/fr/offre-emploi-chef-de-service-apres-vente-et-magasin-pieces-de-rechange-recrutement-groupe-smeia-oujda-184411.html
Technicien Fabrication,Cosumar,Sidi Bennour,Agroalimentaire,Autre,Bac +3,Débutant (-1 an),Non spécifié,Non spécifié,"Travail en équipe, Rigueur, Organisation, Innovation",https://www.rekrute.com/fr/offre-emploi-technicien-fabrication-recrutement-cosumar-sidi-bennour-184380.html
Technicien Process,Cosumar,Ksar El Kébir,Agroalimentaire,Autre,Bac +3,Débutant (-1 an),Non spécifié,Non spécifié,"Travail en équipe, Rigueur, Organisation, Innovation",https://www.rekrute.com/fr/offre-emploi-technicien-process-recrutement-cosumar-ksar-el-kebir-184378.html
Responsable de Site,Meski Invest - Riva Industries,El Jadida,"Automobile, Motos, Cycles",CDI,Bac +5 et plus,Confirmé (5 à 10 ans),Excel,Non spécifié,"Communication, Rigueur, Leadership, Gestion de projet, Innovation, Résolution de problèmes, Relationnel, Flexibilité",https://www.rekrute.com/fr/offre-emploi-responsable-de-site-recrutement-meski-invest---riva-industries-el-jadida-184321.html
Projeteur Piping,Capgemini Engineering,Casablanca,Energie,CDI,Bac +5 et plus,Intermédiaire (3 à 5 ans),"Modélisation, ERP",Anglais,"Communication, Autonomie, Rigueur, Organisation, Créativité, Innovation, Initiative, Flexibilité",https://www.rekrute.com/fr/offre-emploi-projeteur-piping-recrutement-capgemini-engineering-casablanca-184320.html
Responsable SAV,Auto Hall,Casablanca,"Automobile, Motos, Cycles",CDI,Bac +5 et plus,Junior (1 à 3 ans),Excel,Non spécifié,"Travail en équipe, Innovation, Initiative, Flexibilité",https://www.rekrute.com/fr/offre-emploi-responsable-sav-recrutement-auto-hall-casablanca-184310.html
Ingénieur Installation Générale Senior,Capgemini Engineering,Casablanca,"BTP, Génie Civil",CDI,Bac +5 et plus,Intermédiaire (3 à 5 ans),ERP,Anglais,"Communication, Travailler en équipe, Autonomie, Rigueur, Organisation, Créativité, Innovation, Initiative, Sens de l'organisation, Esprit d'analyse",https://www.rekrute.com/fr/offre-emploi-ingenieur-installation-generale-senior-recrutement-capgemini-engineering-casablanca-184305.html
Directeur Technique,Confidentiel,Marrakech,"Hôtellerie, Restauration",CDI,Bac +5 et plus,Confirmé (5 à 10 ans),Non spécifié,"Français, Anglais, Arabe","Travail en équipe, Rigueur, Organisation, Leadership, Flexibilité, Réactivité",https://www.rekrute.com/fr/offre-emploi-directeur-technique-recrutement-confidentiel-marrakech-184275.html
Responsable Maintenance,Sedec,Témara,"BTP, Génie Civil",CDI,Bac +5 et plus,Confirmé (5 à 10 ans),"GMAO, Automatisme",Non spécifié,"Organisation, Leadership, Gestion de projet, Innovation, Réactivité",https://www.rekrute.com/fr/offre-emploi-responsable-maintenance-recrutement-sedec-temara-184227.html
Facility Manager,Manpower Agences,Casablanca,Autres Industries,Intérim,Bac +5 et plus,Confirmé (5 à 10 ans),Excel,"Français, Anglais","Communication, Rigueur, Organisation, Leadership, Gestion de projet, Innovation, Résolution de problèmes, Adaptabilité, Relationnel",https://www.rekrute.com/fr/offre-emploi-facility-manager-recrutement-manpower-agences-casablanca-184150.html
Technicien centrale chaufferie,Confidentiel,Casablanca,Agroalimentaire,Autre,Bac +2,Débutant (-1 an),Automatisme,Non spécifié,Non spécifié,https://www.rekrute.com/fr/offre-emploi-technicien-centrale-chaufferie-recrutement-confidentiel-casablanca-184064.html
Préparateur Maintenance – Maintenance Fixe,Aya Gold & Silver,Taliouine- Askaoune,"Extraction, Mines",CDI,Bac +2,Intermédiaire (3 à 5 ans),"GMAO, ERP, Excel","Français, Anglais","Rigueur, Organisation, Relationnel",https://www.rekrute.com/fr/offre-emploi-preparateur-maintenance-maintenance-fixe-recrutement-aya-gold-silver-taliouine--askaoune-184055.html
Technicien(ne) supérieur(e) - Secteur Hydraulique/Energétique,Manpower Agences,Casablanca,Energie,Autre,Bac +3,Junior (1 à 3 ans),"ERP, Excel","Français, Anglais","Rigueur, Organisation, Innovation, Adaptabilité",https://www.rekrute.com/fr/offre-emploi-technicienne-superieure---secteur-hydrauliqueenergetique-recrutement-manpower-agences-casablanca-183630.html
Technicien de Fabrication,Cosumar,Kénitra,Agroalimentaire,Autre,Bac +3,Débutant (-1 an),Non spécifié,Non spécifié,"Travail en équipe, Rigueur, Organisation, Innovation",https://www.rekrute.com/fr/offre-emploi-technicien-de-fabrication-recrutement-cosumar-kenitra-184011.html
Dessinateur projeteur,Confidentiel,Casablanca,"Conseil, Etudes",CDI,Bac +2,Junior (1 à 3 ans),ERP,Non spécifié,"Communication, Travail en équipe, Autonomie, Rigueur, Organisation, Leadership, Innovation, Adaptabilité, Initiative",https://www.rekrute.com/fr/offre-emploi-dessinateur-projeteur-recrutement-confidentiel-casablanca-184009.html
